,KE557,KE558,KE521,FA501,MM556,FA508,BMB528,FY528,BMB530,BMB504,FA515,FA511,SU520,KE505,FA503,SU517,FA507,BB555,FA505,FA504,SU511,SU518,FA506,FA514,SU519,SFAB20001U,SFAB20002U,SFAB20004U,SFAB20006U,SFAB20023U,SFAB20025U,SFAB20027U,SFAB20029U,SFAB20012U,SFAB20013U,SFAB20017U,SFAB20015U,SFAB20033U,SFAB20035U,SFAB20031U,SFAB23001U,SFAB20008U,SFAB20010U,SFABIL117U,SFAB20019U,
SU520,0.4221,0.3534,0.5977,0.5604,0.449,0.5203,0.5001,0.557,0.552,0.384,0.4255,0.4046,1.0,0.3926,0.5551,0.7605,0.5141,0.3333,0.4775,0.5188,0.4323,0.7422,0.3957,0.3882,0.5446,0.0456,0.1266,0.1654,0.078,0.086,0.0876,0.1492,0.1257,0.1227,0.2009,0.0537,0.1147,0.0786,0.101,0.0402,0.165,0.0953,0.0623,0.1759,0.118,0.1128
KE505,0.2409,0.2459,0.6497,0.3206,0.5279,0.4697,0.4938,0.7198,0.6092,0.6663,0.2566,0.3254,0.3926,1.0,0.4813,0.514,0.509,0.1084,0.6955,0.3682,0.2666,0.3373,0.6922,0.3073,0.3701,0.0231,0.0719,0.0438,0.1465,0.0814,0.032,0.05,0.2001,0.0477,0.023,0.0792,0.1172,0.028,0.0356,0.0161,0.0387,0.0597,0.0259,0.0372,0.0208,0.0389
FA503,0.4234,0.3349,0.643,0.6219,0.516,0.5742,0.5883,0.6116,0.5264,0.441,0.4034,0.5504,0.5551,0.4813,1.0,0.5769,0.5746,0.3323,0.5295,0.6327,0.3593,0.4305,0.4393,0.4579,0.4172,0.111,0.127,0.081,0.0966,0.1234,0.1132,0.1181,0.1337,0.0939,0.0602,0.0807,0.1161,0.0783,0.0865,0.2468,0.1051,0.0878,0.32,0.0922,0.084,0.1871
SU517,0.3368,0.2933,0.6177,0.4919,0.5116,0.5466,0.5285,0.6228,0.5396,0.4607,0.3296,0.3692,0.7605,0.514,0.5769,1.0,0.5405,0.2719,0.5537,0.4708,0.4283,0.7213,0.4756,0.3574,0.5502,0.0286,0.0852,0.1232,0.0521,0.0529,0.0612,0.0961,0.1046,0.1046,0.1636,0.04,0.0841,0.0586,0.0557,0.026,0.1742,0.0768,0.0455,0.1709,0.1019,0.0818
FA507,0.4683,0.3097,0.6654,0.6431,0.5919,0.5431,0.5496,0.609,0.5276,0.4326,0.4575,0.433,0.5141,0.509,0.5746,0.5405,1.0,0.2532,0.5617,0.5569,0.3806,0.3993,0.474,0.4028,0.4209,0.0492,0.0849,0.0894,0.0828,0.0946,0.2306,0.1264,0.1191,0.1163,0.094,0.0659,0.1265,0.1206,0.2873,0.0695,0.0813,0.1865,0.0924,0.0839,0.0921,0.1642
BB555,0.2882,0.2708,0.2698,0.3547,0.2504,0.3198,0.2265,0.2161,0.272,0.1591,0.2741,0.2384,0.3333,0.1084,0.3323,0.2719,0.2532,1.0,0.2317,0.2969,0.2392,0.2588,0.1848,0.2318,0.2368,0.051,0.0805,0.1027,0.0679,0.0731,0.0775,0.1676,0.1225,0.1315,0.0924,0.0458,0.0981,0.0837,0.0962,0.0367,0.1278,0.1018,0.0653,0.119,0.0802,0.12
FA505,0.3422,0.2803,0.6833,0.4367,0.562,0.5898,0.5411,0.6738,0.5985,0.6174,0.3558,0.3956,0.4775,0.6955,0.5295,0.5537,0.5617,0.2317,1.0,0.4755,0.3503,0.4018,0.6698,0.3567,0.4209,0.0585,0.0954,0.0972,0.1017,0.0856,0.0637,0.0942,0.1541,0.0822,0.0777,0.0605,0.1194,0.0512,0.0678,0.0267,0.1228,0.2071,0.04,0.1242,0.0624,0.0569
FA504,0.5088,0.3099,0.6074,0.591,0.4692,0.4889,0.508,0.497,0.4654,0.3073,0.6005,0.5726,0.5188,0.3682,0.6327,0.4708,0.5569,0.2969,0.4755,1.0,0.4711,0.3915,0.3715,0.5256,0.357,0.134,0.1341,0.1124,0.0867,0.113,0.1153,0.1374,0.1675,0.1435,0.0844,0.0827,0.1319,0.0799,0.126,0.2214,0.1118,0.1027,0.227,0.0973,0.0959,0.1859
SU511,0.3148,0.2064,0.395,0.4029,0.3447,0.3606,0.3582,0.3525,0.3439,0.2523,0.3411,0.3256,0.4323,0.2666,0.3593,0.4283,0.3806,0.2392,0.3503,0.4711,1.0,0.4145,0.2722,0.2863,0.3035,0.0862,0.071,0.082,0.051,0.0764,0.0798,0.1338,0.0773,0.3981,0.0993,0.0556,0.0941,0.2464,0.0926,0.0489,0.123,0.0876,0.0853,0.0945,0.1156,0.1106
SU518,0.2901,0.2767,0.4572,0.4218,0.3866,0.4141,0.3872,0.443,0.4326,0.3229,0.2931,0.3269,0.7422,0.3373,0.4305,0.7213,0.3993,0.2588,0.4018,0.3915,0.4145,1.0,0.336,0.2955,0.4625,0.0368,0.0982,0.1468,0.058,0.0568,0.0575,0.1114,0.1046,0.0955,0.1664,0.0331,0.0895,0.0557,0.0516,0.0243,0.1646,0.0643,0.0425,0.2358,0.1179,0.0801
